case_id,slug,chunk,category,expected,actual,tier,deterministic,reason_code,latency_ms
0029f43209c33752,longest-common-prefix,0,exact_reference,correct,correct,execution-reference,True,reference_pass,162.0
0030e5bb075c434a,gray-code,1,timeout,incorrect,incorrect,execution-final,True,final_timeout,5170.4
009ec21c22e6df94,find-first-and-last-position-of-element-in-sorted-array,0,timeout,incorrect,indeterminate,system,False,judge_unavailable,5162.7
011fdb3b21aa3ebe,sqrtx,1,wrong_after_revealed_prefix,incorrect,incorrect,execution-final,True,final_wrong_output,160.1
0131efb6cc6b79ba,combinations,0,exact_reference,correct,correct,execution-reference,True,reference_pass,1131.4
023700c4afbc463c,container-with-most-water,0,syntax_error,incorrect,incorrect,syntax,True,syntax_error,107.5
0250bf7d8d1d9ddf,find-first-and-last-position-of-element-in-sorted-array,2,runtime_error,incorrect,incorrect,execution-final,True,final_runtime_error,163.8
02c8793257d1361e,letter-combinations-of-a-phone-number,1,blank,incorrect,incorrect,syntax,True,blank_answer,108.4
02da7ea585357a0f,combinations,0,clean_logical_error,incorrect,indeterminate,system,False,judge_unavailable,964.9
03764a717ec746ec,longest-palindromic-substring,1,blank,incorrect,incorrect,syntax,True,blank_answer,107.7
0465651325c758f6,search-a-2d-matrix,0,policy_violation,incorrect,incorrect,policy,True,policy_violation,103.7
04879dae3ed07787,sqrtx,1,blank,incorrect,incorrect,syntax,True,blank_answer,104.6
04983d4b7e7b848c,combinations,0,no_op,incorrect,indeterminate,system,False,judge_unavailable,758.3
04bbb8f89a2ad78f,integer-to-roman,1,policy_violation,incorrect,incorrect,policy,True,policy_violation,106.3
051afc8425835640,edit-distance,2,wrong_after_revealed_prefix,incorrect,incorrect,execution-final,True,final_wrong_output,159.2
051f34520b9169cb,palindrome-number,1,blank,incorrect,incorrect,syntax,True,blank_answer,108.6
05de67ade5b00648,jump-game,1,syntax_error,incorrect,incorrect,syntax,True,syntax_error,105.7
0613b074f5fac880,generate-parentheses,0,blank,incorrect,incorrect,syntax,True,blank_answer,104.9
0783549c05444a9f,container-with-most-water,2,syntax_error,incorrect,incorrect,syntax,True,syntax_error,105.0
0891eaf8326f5928,median-of-two-sorted-arrays,1,boundary_off_by_one,incorrect,incorrect,execution-final,True,final_wrong_output,160.0
08dd574944a37f42,sqrtx,0,boundary_off_by_one,incorrect,indeterminate,system,False,judge_unavailable,162.4
09ce579fbe924aff,permutation-sequence,1,policy_violation,incorrect,incorrect,policy,True,policy_violation,105.7
0a31e3bf7b470d26,roman-to-integer,1,runtime_error,incorrect,incorrect,execution-final,True,final_runtime_error,159.7
0abd74658280ae50,find-first-and-last-position-of-element-in-sorted-array,2,no_op,incorrect,incorrect,execution-final,True,final_wrong_output,169.6
0ad11657bbd3ace5,integer-to-roman,0,exact_reference,correct,correct,execution-reference,True,reference_pass,163.3
0af4afaf9d1239b8,palindrome-number,1,clean_logical_error,incorrect,incorrect,execution-final,True,final_wrong_output,163.0
0af55f65f66dc5b0,add-binary,0,timeout,incorrect,indeterminate,system,False,judge_unavailable,5156.7
0bb8bcf643544b74,add-binary,1,exact_reference,correct,correct,execution-reference,True,reference_pass,158.3
0cde640659f93d8e,zigzag-conversion,1,policy_violation,incorrect,incorrect,policy,True,policy_violation,107.7
0d5310b027c9e080,palindrome-number,0,policy_violation,incorrect,incorrect,policy,True,policy_violation,103.9
0d6f4118ffd4a74e,letter-combinations-of-a-phone-number,1,wrong_after_divergent_prefix,incorrect,indeterminate,system,False,judge_unavailable,159.4
0e4cbae6b3995887,median-of-two-sorted-arrays,1,no_op,incorrect,incorrect,execution-final,True,final_wrong_output,163.1
0e7848e556825335,3sum,0,blank,incorrect,incorrect,syntax,True,blank_answer,109.0
0f26300b09129ff4,3sum,1,runtime_error,incorrect,indeterminate,system,False,judge_unavailable,158.5
0f7ebeb2a83c538a,longest-palindromic-substring,0,runtime_error,incorrect,indeterminate,system,False,judge_unavailable,164.0
0f925206f10f8634,roman-to-integer,0,boundary_off_by_one,incorrect,indeterminate,system,False,judge_unavailable,163.6
10a74885b78a9f05,3sum,2,wrong_after_divergent_prefix,incorrect,incorrect,execution-final,True,final_wrong_output,163.0
110c76c852317d0f,edit-distance,0,clean_logical_error,incorrect,indeterminate,system,False,judge_unavailable,164.6
112edcc3a74953bd,3sum,0,runtime_error,incorrect,indeterminate,system,False,judge_unavailable,167.7
1298803302404e2b,jump-game,1,runtime_error,incorrect,incorrect,execution-final,True,final_runtime_error,197.1
1324862dfcc6c679,integer-to-roman,0,syntax_error,incorrect,incorrect,syntax,True,syntax_error,108.1
13da9a58794708c2,median-of-two-sorted-arrays,1,wrong_after_revealed_prefix,incorrect,incorrect,execution-final,True,final_wrong_output,159.6
145e679dd2b13eef,permutation-sequence,0,policy_violation,incorrect,incorrect,policy,True,policy_violation,109.3
14927328db99e05d,integer-to-roman,1,runtime_error,incorrect,incorrect,execution-final,True,final_runtime_error,161.6
14b6b2accdd0b529,zigzag-conversion,1,runtime_error,incorrect,incorrect,execution-final,True,final_runtime_error,164.9
14e3746dd329504a,3sum,0,policy_violation,incorrect,incorrect,policy,True,policy_violation,109.0
14eb6d446e56b73c,edit-distance,0,runtime_error,incorrect,indeterminate,system,False,judge_unavailable,158.7
14f30aff58acc61a,3sum,0,no_op,incorrect,indeterminate,system,False,judge_unavailable,162.2
153dea8ac1ecc4da,longest-common-prefix,0,timeout,incorrect,indeterminate,system,False,judge_unavailable,5161.2
15d8a446647354cc,add-binary,1,wrong_after_divergent_prefix,incorrect,indeterminate,system,False,judge_unavailable,166.0
15dcc677aa97be8e,gray-code,1,syntax_error,incorrect,incorrect,syntax,True,syntax_error,110.7
163194e0e2d6ecbd,roman-to-integer,0,syntax_error,incorrect,incorrect,syntax,True,syntax_error,105.2
167f35be098b0325,sqrtx,0,timeout,incorrect,indeterminate,system,False,judge_unavailable,5150.4
16ae75eeb0dbef62,3sum,1,no_op,incorrect,indeterminate,system,False,judge_unavailable,167.1
16bd6d520c0e981f,gray-code,0,timeout,incorrect,indeterminate,system,False,judge_unavailable,5166.5
1706eae39d6fb9bd,unique-paths,2,wrong_after_revealed_prefix,incorrect,incorrect,execution-final,True,final_wrong_output,167.0
17a113487b6869a3,edit-distance,2,exact_reference,correct,correct,execution-final,True,final_pass,167.2
1a023dd739c73de9,combinations,1,wrong_after_divergent_prefix,incorrect,incorrect,execution-final,True,final_wrong_output,961.4
1a5ef52bf4bd8f5a,search-a-2d-matrix,1,renamed_variables,correct,correct,execution-final,True,final_pass,164.7
1a6c3208cf903428,longest-common-prefix,0,syntax_error,incorrect,incorrect,syntax,True,syntax_error,110.1
1b023db0f1a8d965,edit-distance,1,boundary_off_by_one,incorrect,indeterminate,system,False,judge_unavailable,159.3
1c150c1a61c11f35,powx-n,1,wrong_after_revealed_prefix,incorrect,incorrect,execution-final,True,final_wrong_output,161.0
1d3e0473edc7b508,median-of-two-sorted-arrays,0,boundary_off_by_one,incorrect,indeterminate,system,False,judge_unavailable,166.2
1d7eefda4b0b8374,add-binary,1,timeout,incorrect,indeterminate,system,False,judge_unavailable,5167.8
1d7fabd780969032,edit-distance,0,no_op,incorrect,indeterminate,system,False,judge_unavailable,164.9
1df38586e20c6b5c,gray-code,0,boundary_off_by_one,incorrect,indeterminate,system,False,judge_unavailable,162.4
1e01f7b6876da435,letter-combinations-of-a-phone-number,0,blank,incorrect,incorrect,syntax,True,blank_answer,108.0
1ef5264cfbb21f8a,container-with-most-water,2,exact_reference,correct,correct,execution-final,True,final_pass,154.4
1f675565dbc10690,edit-distance,0,policy_violation,incorrect,incorrect,policy,True,policy_violation,109.3
1ff3ba7575e60619,find-first-and-last-position-of-element-in-sorted-array,0,blank,incorrect,incorrect,syntax,True,blank_answer,103.0
200a9b4d5bda1e7f,median-of-two-sorted-arrays,1,policy_violation,incorrect,incorrect,policy,True,policy_violation,103.9
206199d85369cca1,roman-to-integer,0,policy_violation,incorrect,incorrect,policy,True,policy_violation,104.5
219b17b6f28e9736,search-a-2d-matrix,0,boundary_off_by_one,incorrect,indeterminate,system,False,judge_unavailable,159.0
21ac3393725e3f0d,combinations,1,syntax_error,incorrect,incorrect,syntax,True,syntax_error,107.3
220b0cea330b30eb,permutation-sequence,2,timeout,incorrect,incorrect,execution-final,True,final_timeout,5155.1
221f2f20c1c8d13a,edit-distance,1,clean_logical_error,incorrect,indeterminate,system,False,judge_unavailable,165.7
2225480239c1233a,combinations,0,boundary_off_by_one,incorrect,indeterminate,system,False,judge_unavailable,1040.5
2278b5abbe8ffef4,add-binary,1,renamed_variables,correct,correct,execution-reference,True,reference_pass,163.6
2367aa08adb90c87,unique-paths,2,runtime_error,incorrect,incorrect,execution-final,True,final_runtime_error,175.2
2412769ff20a801e,letter-combinations-of-a-phone-number,0,policy_violation,incorrect,incorrect,policy,True,policy_violation,112.5
2501e5ad888c8318,combinations,1,no_op,incorrect,incorrect,execution-final,True,final_wrong_output,946.9
2591554bf95a87ae,container-with-most-water,1,wrong_after_revealed_prefix,incorrect,indeterminate,system,False,judge_unavailable,158.7
25b4a3a687df03a2,powx-n,0,boundary_off_by_one,incorrect,indeterminate,system,False,judge_unavailable,167.4
2672811457dd196d,generate-parentheses,1,wrong_after_revealed_prefix,incorrect,incorrect,execution-final,True,final_wrong_output,164.4
2764e92bfd834e57,permutation-sequence,0,clean_logical_error,incorrect,indeterminate,system,False,judge_unavailable,165.7
27fd2a6112f419ed,permutation-sequence,2,wrong_after_revealed_prefix,incorrect,incorrect,execution-final,True,final_wrong_output,171.2
