case_id,slug,chunk,category,expected,actual,tier,deterministic,reason_code,latency_ms
0029f43209c33752,longest-common-prefix,0,exact_reference,correct,correct,execution-reference,True,reference_pass,167.4
0030e5bb075c434a,gray-code,1,timeout,incorrect,incorrect,execution-final,True,final_timeout,5160.7
009ec21c22e6df94,find-first-and-last-position-of-element-in-sorted-array,0,timeout,incorrect,indeterminate,system,False,judge_unavailable,5178.9
011fdb3b21aa3ebe,sqrtx,1,wrong_after_revealed_prefix,incorrect,incorrect,execution-final,True,final_wrong_output,169.4
0131efb6cc6b79ba,combinations,0,exact_reference,correct,indeterminate,system,False,harness_error,277.0
023700c4afbc463c,container-with-most-water,0,syntax_error,incorrect,incorrect,syntax,True,syntax_error,113.2
0250bf7d8d1d9ddf,find-first-and-last-position-of-element-in-sorted-array,2,runtime_error,incorrect,incorrect,execution-final,True,final_runtime_error,171.6
02c8793257d1361e,letter-combinations-of-a-phone-number,1,blank,incorrect,incorrect,syntax,True,blank_answer,111.2
02da7ea585357a0f,combinations,0,clean_logical_error,incorrect,indeterminate,system,False,harness_error,194.6
03764a717ec746ec,longest-palindromic-substring,1,blank,incorrect,incorrect,syntax,True,blank_answer,110.6
0465651325c758f6,search-a-2d-matrix,0,policy_violation,incorrect,incorrect,policy,True,policy_violation,108.5
04879dae3ed07787,sqrtx,1,blank,incorrect,incorrect,syntax,True,blank_answer,104.7
04983d4b7e7b848c,combinations,0,no_op,incorrect,indeterminate,system,False,judge_unavailable,159.6
04bbb8f89a2ad78f,integer-to-roman,1,policy_violation,incorrect,incorrect,policy,True,policy_violation,110.3
051afc8425835640,edit-distance,2,wrong_after_revealed_prefix,incorrect,incorrect,execution-final,True,final_wrong_output,173.8
051f34520b9169cb,palindrome-number,1,blank,incorrect,incorrect,syntax,True,blank_answer,113.9
05de67ade5b00648,jump-game,1,syntax_error,incorrect,incorrect,syntax,True,syntax_error,108.3
0613b074f5fac880,generate-parentheses,0,blank,incorrect,incorrect,syntax,True,blank_answer,105.0
0783549c05444a9f,container-with-most-water,2,syntax_error,incorrect,incorrect,syntax,True,syntax_error,108.0
0891eaf8326f5928,median-of-two-sorted-arrays,1,boundary_off_by_one,incorrect,incorrect,execution-final,True,final_wrong_output,167.7
08dd574944a37f42,sqrtx,0,boundary_off_by_one,incorrect,indeterminate,system,False,judge_unavailable,165.6
09ce579fbe924aff,permutation-sequence,1,policy_violation,incorrect,incorrect,policy,True,policy_violation,107.9
0a31e3bf7b470d26,roman-to-integer,1,runtime_error,incorrect,incorrect,execution-final,True,final_runtime_error,158.6
0a6c2b11c26c65c2,add-binary,1,renamed_variables,correct,indeterminate,system,False,judge_unavailable,162.9
0abd74658280ae50,find-first-and-last-position-of-element-in-sorted-array,2,no_op,incorrect,incorrect,execution-final,True,final_wrong_output,163.1
0ad11657bbd3ace5,integer-to-roman,0,exact_reference,correct,correct,execution-reference,True,reference_pass,176.3
0af4afaf9d1239b8,palindrome-number,1,clean_logical_error,incorrect,incorrect,execution-final,True,final_wrong_output,167.5
0af55f65f66dc5b0,add-binary,0,timeout,incorrect,indeterminate,system,False,judge_unavailable,5174.2
0bb8bcf643544b74,add-binary,1,exact_reference,correct,correct,execution-reference,True,reference_pass,167.5
0cde640659f93d8e,zigzag-conversion,1,policy_violation,incorrect,incorrect,policy,True,policy_violation,111.4
0d5310b027c9e080,palindrome-number,0,policy_violation,incorrect,incorrect,policy,True,policy_violation,105.6
0d6f4118ffd4a74e,letter-combinations-of-a-phone-number,1,wrong_after_divergent_prefix,incorrect,indeterminate,system,False,judge_unavailable,159.5
0e4cbae6b3995887,median-of-two-sorted-arrays,1,no_op,incorrect,incorrect,execution-final,True,final_wrong_output,162.0
0e7848e556825335,3sum,0,blank,incorrect,incorrect,syntax,True,blank_answer,108.2
0ebc034b8a26b167,permutation-sequence,1,renamed_variables,correct,indeterminate,system,False,judge_unavailable,164.0
0f26300b09129ff4,3sum,1,runtime_error,incorrect,indeterminate,system,False,judge_unavailable,163.1
0f7ebeb2a83c538a,longest-palindromic-substring,0,runtime_error,incorrect,indeterminate,system,False,judge_unavailable,164.7
0f925206f10f8634,roman-to-integer,0,boundary_off_by_one,incorrect,indeterminate,system,False,judge_unavailable,165.1
10a74885b78a9f05,3sum,2,wrong_after_divergent_prefix,incorrect,incorrect,execution-final,True,final_wrong_output,162.6
110c76c852317d0f,edit-distance,0,clean_logical_error,incorrect,indeterminate,system,False,judge_unavailable,219.3
112edcc3a74953bd,3sum,0,runtime_error,incorrect,indeterminate,system,False,judge_unavailable,168.1
1298803302404e2b,jump-game,1,runtime_error,incorrect,incorrect,execution-final,True,final_runtime_error,170.2
1324862dfcc6c679,integer-to-roman,0,syntax_error,incorrect,incorrect,syntax,True,syntax_error,109.4
133865d014516c4f,unique-paths,1,renamed_variables,correct,correct,execution-reference,True,reference_pass,163.2
13da9a58794708c2,median-of-two-sorted-arrays,1,wrong_after_revealed_prefix,incorrect,incorrect,execution-final,True,final_wrong_output,165.4
145e679dd2b13eef,permutation-sequence,0,policy_violation,incorrect,incorrect,policy,True,policy_violation,111.3
14927328db99e05d,integer-to-roman,1,runtime_error,incorrect,incorrect,execution-final,True,final_runtime_error,160.3
14b6b2accdd0b529,zigzag-conversion,1,runtime_error,incorrect,incorrect,execution-final,True,final_runtime_error,165.9
14e3746dd329504a,3sum,0,policy_violation,incorrect,incorrect,policy,True,policy_violation,108.8
14eb6d446e56b73c,edit-distance,0,runtime_error,incorrect,indeterminate,system,False,judge_unavailable,161.7
14f30aff58acc61a,3sum,0,no_op,incorrect,indeterminate,system,False,judge_unavailable,163.6
153dea8ac1ecc4da,longest-common-prefix,0,timeout,incorrect,indeterminate,system,False,judge_unavailable,5163.7
1571081cd5c95866,find-first-and-last-position-of-element-in-sorted-array,0,renamed_variables,correct,indeterminate,system,False,judge_unavailable,165.9
15d8a446647354cc,add-binary,1,wrong_after_divergent_prefix,incorrect,indeterminate,system,False,judge_unavailable,161.8
15dcc677aa97be8e,gray-code,1,syntax_error,incorrect,incorrect,syntax,True,syntax_error,111.0
163194e0e2d6ecbd,roman-to-integer,0,syntax_error,incorrect,incorrect,syntax,True,syntax_error,104.7
167f35be098b0325,sqrtx,0,timeout,incorrect,indeterminate,system,False,judge_unavailable,5153.3
16ae75eeb0dbef62,3sum,1,no_op,incorrect,indeterminate,system,False,judge_unavailable,169.2
16bd6d520c0e981f,gray-code,0,timeout,incorrect,indeterminate,system,False,judge_unavailable,5155.3
1706eae39d6fb9bd,unique-paths,2,wrong_after_revealed_prefix,incorrect,incorrect,execution-final,True,final_wrong_output,159.4
17a113487b6869a3,edit-distance,2,exact_reference,correct,correct,execution-final,True,final_pass,160.5
1a023dd739c73de9,combinations,1,wrong_after_divergent_prefix,incorrect,incorrect,execution-final,True,final_wrong_output,344.0
1a6c3208cf903428,longest-common-prefix,0,syntax_error,incorrect,incorrect,syntax,True,syntax_error,104.3
1b023db0f1a8d965,edit-distance,1,boundary_off_by_one,incorrect,indeterminate,system,False,judge_unavailable,157.3
1c150c1a61c11f35,powx-n,1,wrong_after_revealed_prefix,incorrect,incorrect,execution-final,True,final_wrong_output,160.8
1d3e0473edc7b508,median-of-two-sorted-arrays,0,boundary_off_by_one,incorrect,indeterminate,system,False,judge_unavailable,162.8
1d7eefda4b0b8374,add-binary,1,timeout,incorrect,indeterminate,system,False,judge_unavailable,5148.5
1d7fabd780969032,edit-distance,0,no_op,incorrect,indeterminate,system,False,judge_unavailable,159.6
1df38586e20c6b5c,gray-code,0,boundary_off_by_one,incorrect,indeterminate,system,False,judge_unavailable,159.2
1e01f7b6876da435,letter-combinations-of-a-phone-number,0,blank,incorrect,incorrect,syntax,True,blank_answer,107.9
1ef5264cfbb21f8a,container-with-most-water,2,exact_reference,correct,correct,execution-final,True,final_pass,153.8
1f675565dbc10690,edit-distance,0,policy_violation,incorrect,incorrect,policy,True,policy_violation,107.0
1ff3ba7575e60619,find-first-and-last-position-of-element-in-sorted-array,0,blank,incorrect,incorrect,syntax,True,blank_answer,102.7
200a9b4d5bda1e7f,median-of-two-sorted-arrays,1,policy_violation,incorrect,incorrect,policy,True,policy_violation,104.0
206199d85369cca1,roman-to-integer,0,policy_violation,incorrect,incorrect,policy,True,policy_violation,104.3
219b17b6f28e9736,search-a-2d-matrix,0,boundary_off_by_one,incorrect,indeterminate,system,False,judge_unavailable,156.6
21ac3393725e3f0d,combinations,1,syntax_error,incorrect,incorrect,syntax,True,syntax_error,105.4
220b0cea330b30eb,permutation-sequence,2,timeout,incorrect,incorrect,execution-final,True,final_timeout,5152.3
221f2f20c1c8d13a,edit-distance,1,clean_logical_error,incorrect,indeterminate,system,False,judge_unavailable,166.8
2225480239c1233a,combinations,0,boundary_off_by_one,incorrect,indeterminate,system,False,harness_error,222.3
2367aa08adb90c87,unique-paths,2,runtime_error,incorrect,incorrect,execution-final,True,final_runtime_error,209.5
2405733692b20716,search-a-2d-matrix,1,renamed_variables,correct,incorrect,execution-final,True,final_runtime_error,176.8
2412769ff20a801e,letter-combinations-of-a-phone-number,0,policy_violation,incorrect,incorrect,policy,True,policy_violation,111.8
249caf6812f7b07c,edit-distance,1,renamed_variables,correct,correct,execution-reference,True,reference_pass,158.0
2501e5ad888c8318,combinations,1,no_op,incorrect,incorrect,execution-final,True,final_wrong_output,345.3
2591554bf95a87ae,container-with-most-water,1,wrong_after_revealed_prefix,incorrect,indeterminate,system,False,judge_unavailable,167.3
25b4a3a687df03a2,powx-n,0,boundary_off_by_one,incorrect,indeterminate,system,False,judge_unavailable,162.1
2672811457dd196d,generate-parentheses,1,wrong_after_revealed_prefix,incorrect,incorrect,execution-final,True,final_wrong_output,164.4
2764e92bfd834e57,permutation-sequence,0,clean_logical_error,incorrect,indeterminate,system,False,judge_unavailable,169.9
27fd2a6112f419ed,permutation-sequence,2,wrong_after_revealed_prefix,incorrect,incorrect,execution-final,True,final_wrong_output,168.1
28aa496e6b1c0e22,roman-to-integer,1,clean_logical_error,incorrect,incorrect,execution-final,True,final_wrong_output,169.8
28ef60996f1c1238,edit-distance,2,blank,incorrect,incorrect,syntax,True,blank_answer,111.7
2a89b94984151171,edit-distance,1,wrong_after_divergent_prefix,incorrect,indeterminate,system,False,judge_unavailable,160.5
2ad4520242f82772,generate-parentheses,1,policy_violation,incorrect,incorrect,policy,True,policy_violation,109.1
2bcb1f7b5497a4f3,generate-parentheses,0,clean_logical_error,incorrect,indeterminate,system,False,judge_unavailable,159.1
